unidade;mes;ano;porte;quantidade
CSSFA;Janeiro;2016;PORTE I (0 A 2 HORAS);9
CSSFA;Janeiro;2016;PORTE II ( 2 A 4 HORAS);0
CSSFA;Fevereiro;2016;PORTE I (0 A 2 HORAS);30
CSSFA;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);0
CSSFA;Março;2016;PORTE I (0 A 2 HORAS);0
CSSFA;Março;2016;PORTE II ( 2 A 4 HORAS);0
CSSFA;Abril;2016;PORTE I (0 A 2 HORAS);7
CSSFA;Abril;2016;PORTE II ( 2 A 4 HORAS);1
CSSFA;Maio;2016;PORTE I (0 A 2 HORAS);22
CSSFA;Maio;2016;PORTE II ( 2 A 4 HORAS);1
CSSFA;Junho;2016;PORTE I (0 A 2 HORAS);36
CSSFA;Junho;2016;PORTE II ( 2 A 4 HORAS);11
CSSFA;Julho;2016;PORTE I (0 A 2 HORAS);33
CSSFA;Julho;2016;PORTE II ( 2 A 4 HORAS);0
CSSFA;Agosto;2016;PORTE I (0 A 2 HORAS);42
CSSFA;Agosto;2016;PORTE II ( 2 A 4 HORAS);0
CSSFA;Setembro;2016;PORTE I (0 A 2 HORAS);30
CSSFA;Setembro;2016;PORTE II ( 2 A 4 HORAS);6
CSSFA;Outubro;2016;PORTE I (0 A 2 HORAS);26
CSSFA;Outubro;2016;PORTE II ( 2 A 4 HORAS);0
CSSFA;Novembro;2016;PORTE I (0 A 2 HORAS);40
CSSFA;Novembro;2016;PORTE II ( 2 A 4 HORAS);6
CSSFA;Dezembro;2016;PORTE I (0 A 2 HORAS);0
CSSFA;Dezembro;2016;PORTE II ( 2 A 4 HORAS);0
CSSFE;Janeiro;2016;PORTE I (0 A 2 HORAS);21
CSSFE;Fevereiro;2016;PORTE I (0 A 2 HORAS);33
CSSFE;Março;2016;PORTE I (0 A 2 HORAS);35
CSSFE;Abril;2016;PORTE I (0 A 2 HORAS);33
CSSFE;Maio;2016;PORTE I (0 A 2 HORAS);38
CSSFE;Junho;2016;PORTE I (0 A 2 HORAS);48
CSSFE;Julho;2016;PORTE I (0 A 2 HORAS);38
CSSFE;Agosto;2016;PORTE I (0 A 2 HORAS);46
CSSFE;Setembro;2016;PORTE I (0 A 2 HORAS);35
CSSFE;Outubro;2016;PORTE I (0 A 2 HORAS);28
CSSFE;Novembro;2016;PORTE I (0 A 2 HORAS);19
CSSFE;Dezembro;2016;PORTE I (0 A 2 HORAS);37
HAC;Janeiro;2016;PORTE I (0 A 2 HORAS);34
HAC;Janeiro;2016;PORTE II ( 2 A 4 HORAS);25
HAC;Janeiro;2016;PORTE III (4 A 5 HORAS);36
HAC;Janeiro;2016;PORTE IV (ACIMA 6 HORAS);50
HAC;Fevereiro;2016;PORTE I (0 A 2 HORAS);43
HAC;Fevereiro;2016;PORTE II ( 2 A 4 HORAS);34
HAC;Fevereiro;2016;PORTE III (4 A 5 HORAS);36
HAC;Fevereiro;2016;PORTE IV (ACIMA 6 HORAS);38
HAC;Março;2016;PORTE I (0 A 2 HORAS);62
HAC;Março;2016;PORTE II ( 2 A 4 HORAS);39
HAC;Março;2016;PORTE III (4 A 5 HORAS);54
HAC;Março;2016;PORTE IV (ACIMA 6 HORAS);41
HAC;Abril;2016;PORTE I (0 A 2 HORAS);64
HAC;Abril;2016;PORTE II ( 2 A 4 HORAS);51
HAC;Abril;2016;PORTE III (4 A 5 HORAS);54
HAC;Abril;2016;PORTE IV (ACIMA 6 HORAS);30
HAC;Maio;2016;PORTE I (0 A 2 HORAS);77
HAC;Maio;2016;PORTE II ( 2 A 4 HORAS);38
HAC;Maio;2016;PORTE III (4 A 5 HORAS);47
