column_1;column_2;column_3;column_4;column_5;column_6;column_7
"unidade;mes;ano;porte;quantidade";;;;;;
"CSSFA;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Abril;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Abril;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Maio;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Maio;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Junho;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Junho;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Julho;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Julho;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Agosto;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Setembro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Outubro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSFA;Novembro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSFA;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Abril;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Abril;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Abril;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Maio;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Maio;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Maio;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Maio;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Junho;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Junho;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Junho;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Junho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Julho;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Julho;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Julho;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Julho;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Agosto;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Agosto;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Agosto;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Agosto;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Setembro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Setembro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Setembro;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Setembro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Outubro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Outubro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Outubro;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Outubro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"CSSI;Novembro;2024;PORTE";I;(0;A;2;"HORAS);0";
"CSSI;Novembro;2024;PORTE";II;(;2;A;4;"HORAS);0"
"CSSI;Novembro;2024;PORTE";III;(4;A;5;"HORAS);0";
"CSSI;Novembro;2024;PORTE";IV;(ACIMA;6;"HORAS);0";;
"HAC;Janeiro;2024;PORTE";I;(0;A;2;"HORAS);88";
"HAC;Janeiro;2024;PORTE";II;(;2;A;4;"HORAS);36"
"HAC;Janeiro;2024;PORTE";III;(4;A;5;"HORAS);16";
"HAC;Janeiro;2024;PORTE";IV;(ACIMA;6;"HORAS);3";;
"HAC;Fevereiro;2024;PORTE";I;(0;A;2;"HORAS);104";
"HAC;Fevereiro;2024;PORTE";II;(;2;A;4;"HORAS);54"
"HAC;Fevereiro;2024;PORTE";III;(4;A;5;"HORAS);25";
"HAC;Fevereiro;2024;PORTE";IV;(ACIMA;6;"HORAS);4";;
"HAC;MarÃƒÂ§o;2024;PORTE";I;(0;A;2;"HORAS);102";
"HAC;MarÃƒÂ§o;2024;PORTE";II;(;2;A;4;"HORAS);61"
"HAC;MarÃƒÂ§o;2024;PORTE";III;(4;A;5;"HORAS);19";
"HAC;MarÃƒÂ§o;2024;PORTE";IV;(ACIMA;6;"HORAS);9";;
"HAC;Abril;2024;PORTE";I;(0;A;2;"HORAS);90";
"HAC;Abril;2024;PORTE";II;(;2;A;4;"HORAS);50"
"HAC;Abril;2024;PORTE";III;(4;A;5;"HORAS);34";
"HAC;Abril;2024;PORTE";IV;(ACIMA;6;"HORAS);4";;
"HAC;Maio;2024;PORTE";I;(0;A;2;"HORAS);98";
"HAC;Maio;2024;PORTE";II;(;2;A;4;"HORAS);50"
